	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
K00675: N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	128	130	41	1	17	24	13	37	13	4	8	62	217	3	18	19	28	122	4	12	239	77	22	58	10	105	21	50	98	20	18	26	3	81	12	5	198	98
K00676: ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]	452	882	410	315	595	504	528	445	489	445	384	525	635	507	442	582	654	663	200	107	769	601	419	498	491	668	556	113	932	681	434	522	575	558	337	315	158	325
K00677: UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	1138	1181	1165	1316	1228	724	540	1295	994	575	1089	745	1452	1004	1095	864	1164	909	1197	618	1053	1274	1054	910	705	1062	1156	879	1356	961	1270	975	838	1028	940	829	622	731
K06988: None	0	0	0	0	1	0	4	2	1	5	0	1	0	0	0	7	0	0	0	1	0	1	14	1	6	1	0	0	2	1	5	0	0	2	0	5	7	5
K06989: aspartate dehydrogenase [EC:1.4.1.21]	102	158	162	295	329	301	254	310	255	308	198	380	135	341	164	159	279	330	181	77	459	157	223	377	322	291	143	40	183	292	218	275	321	239	220	362	77	187
K08351: biotin sulfoxide reductase [EC:1.-.-.-]	0	14	4	0	0	0	1	4	0	0	0	7	0	0	0	17	1	0	0	2	0	0	0	0	0	22	7	41	80	10	2	0	0	0	2	0	194	35
K06980: None	242	61	38	85	23	88	90	26	5	92	76	74	270	99	60	150	64	144	199	27	251	26	140	26	53	144	128	262	125	50	50	36	304	36	66	81	412	420
K06981: None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06982:  or pantoate kinase [EC:2.7.1.169]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08350: formate dehydrogenase-N, gamma subunit [EC:1.2.1.2]	0	24	10	73	0	0	17	15	0	86	0	23	28	81	11	119	2	0	195	5	1	0	81	5	10	50	119	242	90	47	2	35	41	2	59	0	380	351
K06984: None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06985: aspartyl protease family protein	0	0	0	1	1	1	4	2	1	1	0	1	0	0	0	1	0	4	1	1	1	0	9	1	9	2	0	0	1	1	4	0	1	2	0	3	8	9
K06986: None	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3
K06987: None	292	173	207	41	78	277	460	124	189	593	244	402	132	71	185	95	248	371	22	56	148	143	175	184	97	86	76	91	172	224	222	270	328	492	575	968	59	80
K02445: MFS transporter, OPA family, glycerol-3-phosphate transporter	647	230	254	225	300	180	179	154	283	384	132	170	524	147	281	334	305	405	286	62	614	169	287	248	195	425	261	300	236	179	259	123	126	323	162	116	402	532
K02444: DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	118	106	142	170	275	210	529	123	245	699	192	281	132	192	159	264	254	381	214	73	594	86	250	235	194	359	218	328	137	299	176	244	140	264	457	553	434	435
K00582: tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00583: tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00580: tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02110: F-type H+-transporting ATPase subunit c [EC:3.6.3.14]	1390	1399	1286	897	1343	1574	1966	1119	1514	2201	1366	1868	1283	1128	1374	1612	1437	1677	796	597	1856	1167	1144	1569	1554	1312	951	1027	1037	1648	1312	1971	1020	1658	1848	2235	793	831
K00586: diphthine synthase [EC:2.1.1.98]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00587: protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
K00584: tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08921: chlorophyll a/b binding light-harvesting protein PcbD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02441: GlpG protein	1	63	18	73	23	5	23	29	6	174	9	53	31	95	14	127	20	0	195	8	19	2	86	8	16	50	120	244	102	73	17	270	62	10	61	2	392	352
K00588: caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	13	9	2	27	7	5	3	0	17	10	13	29	0	16	1	0	5	2	0	9	0	3	2	0	2	0	2	11	14	0	0	14	21	5	0	0	16	1
K08922: chlorophyll a/b binding light-harvesting protein PcbE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02440: glycerol uptake facilitator protein	206	190	144	141	173	128	266	120	164	328	147	349	361	151	107	221	161	306	216	84	621	141	188	125	117	313	220	288	200	160	209	556	189	128	387	349	501	451
K00018: glycerate dehydrogenase [EC:1.1.1.29]	994	1028	775	626	1082	930	1046	856	959	1238	762	1026	861	746	937	963	1024	1032	549	1348	1411	752	763	1032	1090	989	528	628	733	1058	755	972	512	1001	793	819	259	370
K08923: chlorophyll a/b binding light-harvesting protein PcbF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02443: glycerol uptake operon antiterminator	185	342	267	38	275	498	442	164	212	559	292	387	113	281	263	247	312	371	44	87	535	137	212	395	692	278	89	63	269	396	303	679	328	365	158	373	65	141
K00019: 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	1	4	1	3	3	2	7	2	2	5	9	3	0	0	3	4	0	9	1	4	18	19	13	1	7	26	0	0	2	2	11	0	13	3	6	3	16	15
K02442: membrane protein GlpM	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
K08925: chlorophyll a/b binding light-harvesting protein PcbH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08926: light-harvesting complex 1 alpha chain	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4
K08927: light-harvesting complex 1 beta chain	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4
K03149: thiamine biosynthesis ThiG	648	793	884	707	779	792	711	807	868	983	541	834	900	628	723	883	727	940	717	217	886	776	774	648	802	684	679	485	855	982	792	611	361	977	1140	1179	517	584
K06604: flagellar rod protein FlaI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00015: glyoxylate reductase [EC:1.1.1.26]	8	16	3	1	8	4	11	0	1	1	6	6	0	9	4	2	0	19	1	2	8	2	15	9	9	5	0	0	1	4	7	2	20	7	0	7	12	14
K01989: putative ABC transport system substrate-binding protein	775	796	831	249	764	1547	1851	544	1093	2178	955	1785	652	663	953	1287	1047	1524	105	1250	1360	542	649	1227	1548	847	387	403	355	1410	834	1528	1027	1354	1362	1969	256	382
K00854: xylulokinase [EC:2.7.1.17]	1548	2268	1316	891	1599	1625	1905	1321	1588	2997	1032	2017	1218	974	1248	1566	1584	1795	890	2272	2028	1342	1302	1434	1842	1440	945	757	1293	1997	1697	2820	758	2242	1570	2144	681	849
K00855: phosphoribulokinase [EC:2.7.1.19]	0	24	8	73	0	0	18	15	0	85	0	16	28	72	3	98	1	0	188	2	0	0	63	1	9	49	114	241	90	46	4	34	26	1	50	0	350	355
K00856: adenosine kinase [EC:2.7.1.20]	9	18	30	12	13	85	62	16	4	2	88	50	19	15	44	26	69	29	1	15	33	38	41	25	39	55	26	16	33	5	50	0	258	36	3	53	18	42
K00857: thymidine kinase [EC:2.7.1.21]	701	730	694	724	808	641	683	725	605	688	607	578	627	726	662	703	685	593	740	1239	686	635	634	772	949	685	698	465	826	728	748	802	577	680	610	562	465	625
K00850: 6-phosphofructokinase [EC:2.7.1.11]	3053	3445	2933	2235	3299	3462	3999	2958	3574	5142	2618	4068	2689	2522	2782	3142	3121	4342	1782	2038	4236	2625	2625	3493	3672	2872	1891	1937	2267	4018	3071	4445	1655	4176	3799	4813	1447	1428
K00851: gluconokinase [EC:2.7.1.12]	105	43	9	75	3	1	24	17	4	87	0	18	237	75	11	105	1	101	190	4	238	14	79	2	16	116	115	246	93	49	12	35	29	3	54	5	364	384
K00852: ribokinase [EC:2.7.1.15]	1158	1643	945	571	1338	927	1534	892	1132	2501	843	1656	1048	770	780	1090	1347	1696	867	1217	2366	1027	1018	1097	1091	1590	872	732	669	1399	1161	2317	837	1590	1172	1726	904	1247
K00853: L-ribulokinase [EC:2.7.1.16]	229	67	32	12	28	24	20	44	49	125	26	41	265	8	38	43	68	139	5	20	276	31	56	27	6	110	27	48	92	41	24	8	20	59	11	13	202	62
K00858: NAD+ kinase [EC:2.7.1.23]	1194	1214	1159	853	1112	1305	1377	1006	1241	1578	1146	1408	944	924	1159	1237	1189	1338	776	1486	1159	1054	1043	1153	1317	1013	881	1013	1008	1337	1171	1521	967	1367	1329	1571	751	739
K00859: dephospho-CoA kinase [EC:2.7.1.24]	1244	1220	1148	839	1103	1288	1372	997	1238	1562	1133	1408	1149	922	1157	1228	1180	1422	778	1471	1373	1035	1036	1148	1295	1045	859	1016	1004	1320	1143	1520	966	1362	1327	1569	755	754
K01181: endo-1,4-beta-xylanase [EC:3.2.1.8]	471	239	243	315	375	288	182	389	459	216	211	355	405	331	304	147	201	501	289	1005	608	358	372	198	276	343	211	138	169	294	218	552	77	235	437	429	171	145
K01180: endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01183: chitinase [EC:3.2.1.14]	197	96	241	385	297	189	79	335	300	235	147	130	156	261	176	153	95	213	493	81	155	94	328	142	121	68	231	221	184	206	159	44	55	106	310	262	150	303
K01182: oligo-1,6-glucosidase [EC:3.2.1.10]	614	649	733	192	754	1246	1493	434	1079	2255	696	1343	475	337	829	1108	841	1089	97	1168	1271	401	565	755	1437	617	317	426	319	1246	924	1978	229	1126	1228	1327	114	233
K01185: lysozyme [EC:3.2.1.17]	280	485	378	601	342	384	443	423	360	411	730	444	405	584	623	608	637	276	826	485	180	440	506	419	301	452	704	1150	802	492	507	547	847	429	494	331	947	1197
K01184: polygalacturonase [EC:3.2.1.15]	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	3	1	0	0	1	1	2	0	0	2	0	1	5	0
K01187: alpha-glucosidase [EC:3.2.1.20]	2891	3419	3884	3413	4160	2511	2093	3860	3578	3412	2420	3303	2951	3025	2631	2579	3137	3000	2948	1965	3184	3556	2922	3205	2952	3159	2978	2006	3472	3588	3896	4330	1634	3846	2947	3308	1050	1539
K01188: beta-glucosidase [EC:3.2.1.21]	1231	1065	1491	1206	1752	1179	1257	1254	1547	1559	1105	1524	1339	899	1376	1411	1171	1400	875	1283	1673	1443	1214	1340	1041	1518	1234	824	1065	1185	1555	1644	646	1349	1559	1430	312	613
K02596: nitrogen fixation protein NifX	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	4	2	3	0	0	1	0	0	80	0	1	0	0	0	1	1	0	0
K13766: methylglutaconyl-CoA hydratase [EC:4.2.1.18]	8	12	2	0	9	1	6	2	1	5	6	1	0	0	4	1	0	15	0	1	8	2	16	8	4	3	0	0	2	2	11	1	1	2	7	6	7	4
K13767: enoyl-CoA hydratase [EC:4.2.1.17]	71	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	4	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
K13003: glycosyltransferase [EC:2.4.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13002: glycosyltransferase [EC:2.4.1.-]	40	104	87	236	199	49	18	223	108	85	41	184	65	151	48	56	69	122	177	25	128	72	108	100	75	93	80	12	111	177	126	159	33	92	133	184	58	92
K13000: mannosyltransferase [EC:2.4.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02984: small subunit ribosomal protein S3Ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02986: small subunit ribosomal protein S4	1341	1232	1159	855	1113	1306	1387	1007	1245	1580	1148	1412	1153	928	1168	1238	1190	1439	779	1489	1397	1071	1047	1154	1320	1080	881	1018	1009	1337	1173	1521	974	1370	1334	1573	779	762
K02987: small subunit ribosomal protein S4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02636: cytochrome b6-f complex iron-sulfur subunit [EC:1.10.99.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02982: small subunit ribosomal protein S3	1330	1232	1153	854	1108	1295	1370	1004	1237	1578	1133	1405	1148	926	1143	1236	1183	1409	778	1484	1392	1065	1036	1149	1312	1079	875	1014	1008	1333	1173	1517	967	1367	1328	1565	756	755
K02983: small subunit ribosomal protein S30e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02638: plastocyanin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02639: ferredoxin	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02988: small subunit ribosomal protein S5	1333	1193	1151	854	1090	1286	1378	996	1239	1490	1135	1379	1150	917	1163	1234	1171	1439	778	1480	1376	1066	1026	1152	1314	1078	880	1015	1002	1311	1158	1285	954	1360	1327	1567	750	755
K08298: crotonobetainyl-CoA:carnitine CoA-transferase [EC:2.8.3.-]	8	19	62	2	10	9	4	11	8	0	4	10	0	0	5	14	2	30	1	15	0	15	6	8	4	26	26	47	35	14	4	5	0	8	8	4	188	32
K08299: carnitinyl-CoA dehydratase [EC:4.2.1.-]	0	14	4	0	0	0	0	4	0	0	0	7	0	0	0	13	1	0	0	0	0	0	0	0	3	22	7	41	0	10	0	0	0	0	2	0	187	33
K03583: exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]	6	34	34	77	7	85	74	25	1	91	76	73	48	98	52	145	64	16	195	16	13	11	116	25	46	78	128	257	122	47	45	35	298	34	65	49	392	392
K03582: exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	6	34	34	77	7	85	74	25	1	91	76	72	48	96	52	145	64	16	195	16	13	11	116	25	46	78	128	257	122	47	45	35	298	34	65	49	392	392
K03581: exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	909	1003	650	303	723	934	1284	517	866	1818	691	1251	727	567	714	972	874	1514	398	242	1414	572	648	847	810	837	400	453	356	1181	690	1381	771	1197	893	1316	727	643
K03580: ATP-dependent helicase HepA [EC:3.6.4.-] or ATP-dependent helicase HepA [EC:3.6.1.-]	105	57	15	73	0	0	19	21	4	89	0	30	238	84	19	136	2	101	196	5	238	14	84	6	10	137	127	286	90	57	2	35	41	2	66	1	567	400
K03587: cell division protein FtsI (penicillin-binding protein 3) [EC:2.4.1.129]	485	627	678	712	634	491	336	680	551	354	629	492	559	573	592	531	654	405	700	1306	338	686	606	486	451	562	675	833	876	538	694	526	591	565	516	443	538	559
K03586: cell division protein FtsL	0	24	11	74	2	1	23	17	1	91	0	24	28	84	12	124	2	1	195	6	1	1	92	7	14	52	120	242	92	48	10	35	41	4	65	2	387	355
K03585: membrane fusion protein	1262	1372	1301	1659	1416	930	685	1578	1186	747	1304	905	1786	1192	1207	1013	1401	1088	1553	590	1403	1521	1270	1023	791	1327	1357	1480	1602	1127	1568	1253	1363	1241	1152	1071	920	1161
K03584: DNA repair protein RecO (recombination protein O)	1225	1153	1102	847	1069	1067	1332	967	1193	1479	1081	1322	1108	881	1101	1132	1128	1408	775	1470	1325	1039	996	1136	871	1032	860	981	950	1206	1094	1262	925	1311	1275	1543	730	751
K03589: cell division protein FtsQ	766	1004	958	779	968	938	912	855	987	1095	840	1011	744	725	967	1034	912	881	761	1385	970	880	904	788	997	839	764	898	852	1099	938	1242	511	828	1203	1068	681	642
K03588: cell division protein FtsW	1405	1632	1401	688	1289	1841	2152	1121	1629	2918	1459	2161	1041	1069	1449	1635	1485	2365	688	1588	2038	1010	1213	1596	1935	1171	719	1106	578	2109	1472	2620	871	2057	1655	2325	790	753
K01725: cyanate lyase [EC:4.2.1.104]	0	14	5	0	2	1	6	6	1	2	0	8	0	18	4	14	1	0	0	1	0	0	9	1	4	24	7	41	1	12	10	1	3	2	5	2	236	42
K01724: 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	105	18	1	1	2	1	2	2	12	5	2	28	209	0	7	4	0	108	2	1	238	14	10	1	4	67	0	4	1	1	8	0	0	0	1	3	6	26
K01727: hyaluronate lyase [EC:4.2.2.1]	36	26	52	81	29	2	22	47	16	12	69	12	49	3	40	48	38	10	11	23	7	101	33	4	1	59	90	32	0	0	26	79	31	10	60	13	11	1
K01726: None	195	356	304	128	235	235	365	217	222	516	266	346	190	168	245	240	308	344	59	96	457	255	228	274	245	305	187	66	88	368	265	477	81	326	400	547	27	45
K01721: nitrile hydratase [EC:4.2.1.84]	0	0	0	0	2	1	6	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	18	1	4	2	0	0	81	1	13	1	1	2	0	4	7	9
K01720: 2-methylcitrate dehydratase [EC:4.2.1.79]	0	10	4	74	2	1	21	12	1	85	0	10	27	72	3	84	0	0	188	0	0	0	69	1	13	27	107	201	12	37	6	35	27	3	48	2	163	317
K01722: None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13008: O-antigen polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01729: poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	12	38	38	52	15	1	6	12	2	25	8	0	12	0	13	0	7	15	13	1	7	39	13	16	8	19	6	10	44	0	42	0	0	48	12	26	0	0
K01728: pectate lyase [EC:4.2.2.2]	212	215	270	200	275	53	65	300	188	25	145	233	120	120	135	84	217	163	146	57	168	347	202	177	259	416	274	91	268	116	218	285	40	200	267	185	17	325
K09530: DnaJ homolog subfamily C member 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09539: DnaJ homolog subfamily C member 19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02188: cobalamin biosynthesis protein CbiD or cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	580	979	731	518	754	939	1013	718	861	1334	600	1028	583	656	615	860	781	1015	375	213	895	578	616	811	1043	528	429	196	800	1169	761	1225	534	1016	708	957	226	137
K02189: cobalamin biosynthesis protein CbiG or cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	434	557	450	99	438	644	922	296	606	1173	434	912	327	338	471	620	505	836	60	150	732	341	352	638	605	438	180	140	283	775	461	958	341	778	434	727	150	139
K02182: crotonobetaine/carnitine-CoA ligase [EC:6.2.1.-]	0	15	4	3	6	1	4	6	0	0	0	11	0	0	4	14	3	0	1	5	0	3	6	0	0	26	12	41	1	15	2	7	0	1	2	4	194	32
K02183: calmodulin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03769: peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	56	285	226	24	87	408	327	87	124	235	315	304	123	131	238	162	281	203	48	1021	181	124	201	155	216	154	71	169	418	206	300	344	807	270	345	665	320	175
K03768: peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]	1561	1155	1078	772	1027	1330	1511	833	1275	1807	1243	1421	1219	872	1177	1189	1025	1571	703	539	1663	931	974	1304	1261	990	739	910	584	1153	1316	2073	809	1384	1485	1955	818	667
K03767: peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]	15	57	50	85	15	100	95	34	11	110	98	93	51	98	48	134	97	22	194	47	29	22	104	31	69	82	141	268	125	55	49	39	339	44	57	53	388	404
K03765: transcriptional activator of cad operon	0	14	4	0	0	0	0	4	0	0	0	7	0	0	0	13	1	0	0	1	0	0	0	0	0	22	7	41	80	10	1	0	0	0	2	0	187	32
K03764: transcriptional repressor of met regulon (beta-ribbon, MetJ family)	0	11	6	73	0	0	18	11	0	86	0	16	28	84	12	110	0	1	194	5	1	0	84	6	10	28	113	201	90	37	2	34	40	2	57	0	193	320
K03763: DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]	774	785	690	171	623	1099	1348	438	874	1480	713	1214	475	507	778	844	735	1242	88	238	1253	495	616	860	1194	672	262	215	264	1115	626	1131	442	1015	1115	1513	290	259
K03762: MFS transporter, MHS family, proline/betaine transporter	140	42	47	87	38	31	39	22	7	104	4	55	43	74	8	119	3	45	190	9	5	16	137	12	25	62	130	257	120	60	40	51	29	9	57	47	370	362
K03761: MFS transporter, MHS family, alpha-ketoglutarate permease	0	14	5	1	2	1	6	7	2	0	0	8	0	0	0	24	1	0	1	3	1	0	8	1	7	25	7	41	83	12	8	1	1	2	9	2	200	44
K03760: phosphoethanolamine transferase	103	37	37	9	18	84	56	19	23	5	91	56	45	16	50	42	95	33	2	17	23	20	40	20	36	62	22	60	112	10	45	0	257	68	12	57	206	76
K09457: 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	474	677	649	616	597	522	346	690	518	357	548	485	692	489	578	461	615	668	509	302	570	707	488	485	742	531	530	167	658	647	658	542	291	685	725	770	169	217
K09456: putative acyl-CoA dehydrogenase	0	14	5	1	2	1	6	6	1	2	0	8	0	0	0	18	1	0	1	3	1	0	12	1	4	25	7	41	82	12	9	1	1	2	4	2	200	41
K09459: phosphonopyruvate decarboxylase [EC:4.1.1.82]	161	85	61	9	52	34	15	67	37	1	41	35	40	22	35	4	27	16	11	4	50	24	50	42	72	104	55	15	20	12	59	9	9	61	43	59	50	59
K09458: 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	1544	1260	1172	861	1126	1349	1434	1015	1249	1560	1210	1420	1376	925	1210	1242	1253	1571	773	1494	1684	1107	1069	1147	1362	1202	880	1015	1188	1338	1228	1530	1207	1404	1329	1629	741	824
K00602: phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	2442	2423	2465	1815	2266	2776	2988	2003	2575	3191	2804	2871	2382	1841	2793	2582	2556	2672	1622	3358	2829	2228	2127	2512	2826	2236	1878	2441	2120	2642	2558	2973	1971	2617	2756	3087	1483	1470
K13988: ADP-ribose pyrophosphatase [EC:3.6.1.13]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13985: N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D [EC:3.1.4.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09981: hypothetical protein	0	2	0	27	9	1	5	0	0	11	0	1	0	0	0	4	4	0	0	1	0	3	7	1	10	1	0	5	2	1	6	12	10	2	0	2	6	3
K09980: hypothetical protein	0	14	4	0	0	0	0	6	1	0	0	7	0	0	0	13	1	0	0	0	0	0	0	0	0	22	7	41	0	10	0	0	0	0	2	0	188	32
K09983: hypothetical protein	1	0	2	1	4	1	8	2	1	5	1	2	0	0	0	1	0	0	1	2	1	1	15	2	8	3	0	0	2	2	14	1	1	4	3	4	12	9
K09982: hypothetical protein	2	8	6	8	5	0	2	8	4	0	13	0	0	0	4	3	7	14	0	5	20	27	10	5	0	26	18	0	80	4	5	0	0	2	1	4	0	4
K09985: hypothetical protein	130	8	0	7	12	0	1	0	0	0	0	0	12	0	0	1	0	28	0	1	0	0	22	0	3	1	0	0	0	1	2	0	0	0	0	29	1	8
K09984: hypothetical protein	1	0	1	0	2	1	2	0	0	4	0	0	0	0	0	4	0	0	0	3	0	0	11	0	4	1	0	0	80	1	9	0	0	0	4	1	1	10
K09987: hypothetical protein	130	8	0	7	12	0	1	0	0	0	0	0	12	0	0	1	0	28	0	1	0	0	22	0	3	1	0	0	0	1	2	0	0	0	0	29	1	8
K09986: hypothetical protein	0	0	0	0	0	0	1	2	1	3	0	0	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	2	0	0	0	4	1	1	5
K09989: hypothetical protein	59	21	26	18	23	53	138	23	25	46	31	44	21	11	42	37	31	42	1	16	26	30	33	38	71	45	16	7	4	42	67	14	136	41	22	21	39	27
K09988: hypothetical protein	167	343	176	49	189	210	372	180	244	648	157	397	94	97	149	109	300	473	16	58	347	225	145	247	173	221	102	72	156	327	209	295	68	598	118	381	20	47
K12583: phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K12582: TDP-Fuc4NAc transferase [EC:2.4.1.-]	0	24	8	73	0	0	18	15	0	85	0	16	27	72	3	97	1	0	188	2	0	0	63	0	9	48	114	241	90	46	2	34	26	1	50	0	350	351
K12589: exosome complex component RRP42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
